Name	Category	Country
Los Glaciares National Park	Natural	Argentina
Iguazu National Park	Natural	Argentina
Ischigualasto / Talampaya Natural Parks	Natural	Argentina
Lord Howe Island Group	Natural	Australia
Gondwana Rainforests of Australia	Natural	Australia
Shark Bay, Western Australia	Natural	Australia
Fraser Island	Natural	Australia
Australian Fossil Mammal Sites (Riversleigh / Naracoorte)	Natural	Australia
Greater Blue Mountains Area	Natural	Australia
Purnululu National Park	Natural	Australia
Ningaloo Coast	Natural	Australia
Belize Barrier Reef Reserve System	Natural	Belize
Noel Kempff Mercado National Park	Natural	Bolivia (Plurinational State of)
Iguaçu National Park	Natural	Brazil
Discovery Coast Atlantic Forest Reserves	Natural	Brazil
Atlantic Forest South-East Reserves	Natural	Brazil
Central Amazon Conservation Complex	Natural	Brazil
Pantanal Conservation Area	Natural	Brazil
Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves	Natural	Brazil
Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks	Natural	Brazil
Srebarna Nature Reserve	Natural	Bulgaria
Pirin National Park	Natural	Bulgaria
Dja Faunal Reserve	Natural	Cameroon
Nahanni National Park	Natural	Canada
Dinosaur Provincial Park	Natural	Canada
Wood Buffalo National Park	Natural	Canada
Gros Morne National Park	Natural	Canada
Miguasha National Park	Natural	Canada
Joggins Fossil Cliffs	Natural	Canada
Manovo-Gounda St Floris National Park	Natural	Central African Republic
Lakes of Ounianga	Natural	Chad
Jiuzhaigou Valley Scenic and Historic Interest Area	Natural	China
Huanglong Scenic and Historic Interest Area	Natural	China
Wulingyuan Scenic and Historic Interest Area	Natural	China
Three Parallel Rivers of Yunnan Protected Areas	Natural	China
Sichuan Giant Panda Sanctuaries - Wolong, Mt Siguniang and Jiajin Mountains 	Natural	China
South China Karst	Natural	China
Mount Sanqingshan National Park	Natural	China
China Danxia	Natural	China
Chengjiang Fossil Site	Natural	China
Xinjiang Tianshan	Natural	China
Los Katíos National Park	Natural	Colombia
Malpelo Fauna and Flora Sanctuary	Natural	Colombia
Cocos Island National Park	Natural	Costa Rica
Plitvice Lakes National Park	Natural	Croatia
Desembarco del Granma National Park	Natural	Cuba
Virunga National Park	Natural	Democratic Republic of the Congo
Garamba National Park	Natural	Democratic Republic of the Congo
Kahuzi-Biega National Park	Natural	Democratic Republic of the Congo
Salonga National Park	Natural	Democratic Republic of the Congo
Okapi Wildlife Reserve	Natural	Democratic Republic of the Congo
Ilulissat Icefjord	Natural	Denmark
Morne Trois Pitons National Park	Natural	Dominica
Simien National Park	Natural	Ethiopia
Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve	Natural	France
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems	Natural	France
Pitons, cirques and remparts of Reunion Island	Natural	France
Messel Pit Fossil Site	Natural	Germany
Río Plátano Biosphere Reserve	Natural	Honduras
Surtsey	Natural	Iceland
Nanda Devi and Valley of Flowers National Parks  	Natural	India
Kaziranga National Park	Natural	India
Manas Wildlife Sanctuary	Natural	India
Keoladeo National Park	Natural	India
Western Ghats	Natural	India
Ujung Kulon National Park	Natural	Indonesia
Isole Eolie (Aeolian Islands)	Natural	Italy
The Dolomites	Natural	Italy
Mount Etna	Natural	Italy
Yakushima	Natural	Japan
Shirakami-Sanchi	Natural	Japan
Shiretoko	Natural	Japan
Ogasawara Islands	Natural	Japan
Saryarka – Steppe and Lakes of Northern Kazakhstan	Natural	Kazakhstan
Mount Kenya National Park/Natural Forest	Natural	Kenya
Lake Turkana National Parks	Natural	Kenya
Kenya Lake System in the Great Rift Valley	Natural	Kenya
Phoenix Islands Protected Area	Natural	Kiribati
Jeju Volcanic Island and Lava Tubes	Natural	Korea, Republic of
Rainforests of the Atsinanana	Natural	Madagascar
Lake Malawi National Park	Natural	Malawi
Kinabalu Park	Natural	Malaysia
Gunung Mulu National Park	Natural	Malaysia
Banc d'Arguin National Park	Natural	Mauritania
Sian Ka'an	Natural	Mexico
Whale Sanctuary of El Vizcaino	Natural	Mexico
Islands and Protected Areas of the Gulf of California	Natural	Mexico
Monarch Butterfly Biosphere Reserve	Natural	Mexico
El Pinacate and Gran Desierto de Altar Biosphere Reserve	Natural	Mexico
Durmitor National Park	Natural	Montenegro
Namib Sand Sea	Natural	Namibia
Chitwan National Park	Natural	Nepal
New Zealand Sub-Antarctic Islands	Natural	New Zealand
W National Park of Niger	Natural	Niger
West Norwegian Fjords – Geirangerfjord and Nærøyfjord	Natural	Norway
Darien National Park	Natural	Panama
Coiba National Park and its Special Zone of Marine Protection	Natural	Panama
Manú National Park	Natural	Peru
Puerto-Princesa Subterranean River National Park	Natural	Philippines
Laurisilva of Madeira	Natural	Portugal
Danube Delta	Natural	Romania
Virgin Komi Forests	Natural	Russian Federation
Lake Baikal	Natural	Russian Federation
Volcanoes of Kamchatka	Natural	Russian Federation
Central Sikhote-Alin	Natural	Russian Federation
Western Caucasus	Natural	Russian Federation
Putorana Plateau	Natural	Russian Federation
Lena Pillars Nature Park	Natural	Russian Federation
Djoudj National Bird Sanctuary	Natural	Senegal
Niokolo-Koba National Park	Natural	Senegal
Vallée de Mai Nature Reserve	Natural	Seychelles
Škocjan Caves	Natural	Slovenia
East Rennell	Natural	Solomon Islands
Vredefort Dome	Natural	South Africa
Garajonay National Park	Natural	Spain
Teide National Park	Natural	Spain
Central Highlands of Sri Lanka	Natural	Sri Lanka
Central Suriname Nature Reserve	Natural	Suriname
Swiss Alps Jungfrau-Aletsch	Natural	Switzerland
Swiss Tectonic Arena Sardona	Natural	Switzerland
Tajik National Park (Mountains of the Pamirs)	Natural	Tajikistan
Serengeti National Park	Natural	Tanzania, United Republic of 
Selous Game Reserve	Natural	Tanzania, United Republic of 
Kilimanjaro National Park	Natural	Tanzania, United Republic of 
Dong Phayayen-Khao Yai Forest Complex	Natural	Thailand
Thungyai-Huai Kha Khaeng Wildlife Sanctuaries	Natural	Thailand
Bwindi Impenetrable National Park	Natural	Uganda
Rwenzori Mountains National Park	Natural	Uganda
Giant's Causeway and Causeway Coast	Natural	United Kingdom of Great Britain and Northern Ireland
Henderson Island	Natural	United Kingdom of Great Britain and Northern Ireland
